Developer_ID,Week_Number,Experience_Years,Remote_Work,Hours_Worked,Tasks_Completed,Code_Review_Score,Project_Familiarity_Percent,Collaboration_Score,Meetings_Attended,Productivity_Score,Role_Level_Junior,Role_Level_Mid,Role_Level_Senior,Programming_Language_C++,Programming_Language_Go,Programming_Language_Java,Programming_Language_JavaScript,Programming_Language_Python
39,15,4.2,0,52.8,7,7.4,52,5.2,1,56.999527719512045,0,0,1,1,0,0,0,0
29,32,4.8,0,34.5,15,8.1,61,7.2,9,77.12980804856576,1,0,0,1,0,0,0,0
15,32,5.2,1,46.9,19,6.6,58,4.6,4,74.27839827751265,0,1,0,0,0,0,0,1
43,24,12.8,1,26.7,10,7.4,73,6.7,3,66.96957791413796,1,0,0,0,0,0,1,0
8,41,2.5,0,29.6,15,8.7,53,8.5,7,83.84234956236466,0,0,1,0,0,0,1,0
21,52,10.8,1,33.8,5,9.4,43,6.1,1,57.62812484817346,1,0,0,0,0,0,1,0
39,49,8.5,0,34.1,10,7.2,87,8.0,5,70.90496166623588,1,0,0,0,1,0,0,0
19,49,4.8,1,41.0,4,5.2,92,8.8,4,57.50841570278576,1,0,0,0,0,1,0,0
23,52,6.6,1,41.4,10,5.8,91,9.6,1,78.73165098030795,0,1,0,0,1,0,0,0
11,12,4.2,1,38.7,15,5.1,85,5.4,9,65.13669221084946,1,0,0,0,0,1,0,0
11,39,9.4,1,39.3,15,8.3,66,6.4,0,80.56735741223984,0,1,0,0,0,0,1,0
24,2,1.7,1,42.6,3,6.7,68,4.9,7,47.226389188892156,0,1,0,0,0,0,1,0
36,3,0.6,1,44.2,8,7.7,86,10.0,1,81.60110951792619,1,0,0,0,1,0,0,0
40,49,9.6,1,33.4,18,7.5,67,9.6,6,86.90351611600292,1,0,0,0,1,0,0,0
24,37,3.3,0,38.2,10,5.4,74,7.2,8,57.810883069741394,1,0,0,0,0,1,0,0
3,49,1.5,0,39.7,3,7.0,47,9.1,8,48.17819527863823,0,0,1,1,0,0,0,0
22,17,6.3,0,42.4,18,6.1,55,7.1,7,81.2652871650769,1,0,0,0,0,1,0,0
2,49,1.2,0,36.1,11,7.1,81,7.7,9,80.5665264930173,0,1,0,0,1,0,0,0
24,2,13.4,0,39.6,15,6.0,75,4.5,8,61.431210931569844,1,0,0,0,1,0,0,0
44,2,0.9,1,40.1,13,9.2,69,8.5,1,78.4234919246507,0,0,1,0,0,0,0,1
30,28,8.9,1,36.5,15,5.9,57,4.8,5,65.35601606648927,1,0,0,0,1,0,0,0
38,23,6.9,0,36.4,12,9.8,41,9.0,3,78.65478048034022,0,0,1,0,0,0,0,1
2,37,10.2,1,40.5,6,7.1,88,8.7,3,70.73484782777497,0,0,1,1,0,0,0,0
21,32,5.3,0,39.3,8,9.2,52,8.3,4,64.14433495699257,1,0,0,0,0,1,0,0
33,33,2.7,0,42.5,9,8.1,43,4.2,2,52.984454816752674,0,1,0,0,0,1,0,0
12,1,14.7,1,34.7,7,8.7,65,5.8,0,65.39043576566814,0,0,1,0,0,0,0,1
22,19,12.7,1,38.2,13,8.8,64,5.6,7,71.60799639896416,1,0,0,0,0,1,0,0
44,2,13.0,1,38.9,15,7.5,69,6.2,4,81.33360498885762,1,0,0,0,1,0,0,0
25,44,4.1,0,44.1,12,7.7,50,4.5,2,67.53679901595191,0,1,0,0,0,0,1,0
49,26,1.1,1,35.3,12,7.6,46,9.6,9,73.47689673816609,0,0,1,0,0,0,0,1
27,32,4.9,0,41.2,13,7.9,70,7.3,6,74.77759326811567,0,0,1,0,0,1,0,0
42,6,8.3,0,41.3,9,5.1,83,5.8,6,70.27790129284102,1,0,0,0,0,0,0,1
28,32,5.2,0,48.2,6,7.0,49,6.4,0,51.411260092031185,1,0,0,0,0,0,0,1
16,4,12.5,1,35.0,4,8.0,78,6.7,8,60.05404916877387,0,1,0,0,0,0,1,0
15,11,4.4,1,36.7,16,8.0,52,7.6,1,74.75155006463447,0,1,0,0,1,0,0,0
47,17,14.5,0,35.3,15,9.0,70,7.1,4,77.83266161130274,0,0,1,0,0,0,0,1
44,38,7.1,1,31.7,14,8.3,46,9.5,4,76.06327200617274,0,0,1,0,0,1,0,0
3,24,12.7,1,48.8,9,10.0,95,7.0,7,85.64661668309013,1,0,0,1,0,0,0,0
37,5,3.3,1,33.8,4,6.4,88,10.0,7,62.6194721522701,0,0,1,0,0,0,0,1
7,52,6.5,0,35.9,15,6.8,81,9.1,6,78.84760965727813,0,1,0,0,0,0,0,1
21,34,10.6,0,46.6,16,6.9,81,5.3,6,78.37218162977287,0,1,0,0,0,0,1,0
9,6,2.5,1,31.2,19,7.3,95,9.6,5,95.77573940712256,1,0,0,0,1,0,0,0
39,22,2.4,0,43.8,11,9.2,75,4.7,5,69.0401331543044,0,1,0,1,0,0,0,0
18,11,14.6,1,32.9,19,6.2,59,8.9,8,75.21685572105885,0,1,0,0,0,1,0,0
4,48,10.9,1,46.2,10,8.9,43,6.3,5,72.59271242256145,0,1,0,1,0,0,0,0
25,16,1.1,1,29.2,4,7.0,93,9.3,1,66.74909064355022,0,1,0,0,0,1,0,0
14,33,6.3,1,31.2,15,8.0,46,9.2,1,91.96869186734119,1,0,0,0,1,0,0,0
50,9,6.8,0,37.3,5,8.2,93,8.8,4,73.50160810270441,1,0,0,0,0,1,0,0
9,6,11.3,0,44.9,18,6.9,40,8.7,3,83.3565986238052,0,0,1,0,0,0,1,0
26,16,4.1,0,39.8,8,7.6,83,5.8,1,64.32397835691516,0,1,0,0,0,0,1,0
2,29,3.2,1,38.3,9,7.1,95,4.5,2,60.823272180715406,0,0,1,0,0,0,1,0
20,3,1.7,1,46.7,12,5.3,84,6.4,6,65.41134507755777,1,0,0,0,0,0,1,0
28,20,6.7,1,50.8,11,7.2,81,5.0,7,60.67853702897085,1,0,0,1,0,0,0,0
47,36,10.5,0,43.4,4,5.5,86,8.2,5,58.85095190365377,1,0,0,0,1,0,0,0
7,19,1.3,1,36.9,17,7.0,98,6.1,4,92.96326248848568,1,0,0,0,0,1,0,0
44,26,13.8,0,37.9,7,8.0,52,9.9,0,66.89543866941435,1,0,0,0,0,1,0,0
8,3,6.9,0,33.6,6,7.9,94,7.8,7,71.32245486195599,1,0,0,0,0,0,1,0
47,19,4.0,0,40.5,6,8.3,61,8.9,2,62.45385464891572,1,0,0,0,0,0,1,0
35,20,1.9,0,31.9,6,5.5,93,4.8,5,52.68766580896325,0,1,0,0,0,0,0,1
14,32,3.2,0,42.8,19,8.3,60,9.2,2,88.2251800771728,0,0,1,0,1,0,0,0
17,7,14.1,0,50.0,14,6.6,61,9.5,6,65.33433482464744,1,0,0,1,0,0,0,0
36,52,9.8,1,43.6,19,7.0,67,6.9,6,83.01733325040695,0,1,0,0,0,1,0,0
50,41,8.0,1,37.7,12,9.3,48,7.6,8,73.34225868798877,0,1,0,0,0,0,0,1
40,33,10.0,0,42.6,3,5.0,65,8.6,4,54.52930499380818,0,0,1,0,0,0,0,1
4,40,6.8,0,48.1,16,7.9,48,5.0,7,75.77719126334645,1,0,0,0,0,1,0,0
2,39,11.1,1,47.9,17,8.0,54,7.0,9,82.344764495195,0,0,1,1,0,0,0,0
6,18,1.2,0,35.0,14,7.0,49,6.4,9,62.22981888441061,1,0,0,0,0,0,0,1
42,40,8.7,0,42.6,6,6.2,63,4.9,7,51.79748653035347,0,1,0,0,0,0,0,1
4,1,2.8,1,39.2,5,6.2,97,6.2,0,68.31296982740797,0,1,0,0,1,0,0,0
29,11,2.2,0,44.0,14,9.4,96,4.4,4,84.09933925354541,0,1,0,1,0,0,0,0
18,28,5.5,0,41.9,9,7.2,81,4.2,2,72.34296806532498,0,1,0,0,0,0,0,1
26,25,1.8,0,28.2,13,6.7,47,4.8,0,75.19483055559931,0,0,1,1,0,0,0,0
44,50,1.9,1,38.3,3,7.2,63,9.8,3,56.95765864854179,1,0,0,0,0,1,0,0
34,23,5.0,1,41.0,8,8.3,55,7.3,7,59.51530127459714,1,0,0,0,0,0,1,0
10,31,14.7,1,32.8,17,5.7,88,9.8,2,83.49268917290526,0,0,1,0,0,0,0,1
36,30,3.0,0,42.9,17,7.2,65,6.6,9,69.7193208994839,1,0,0,0,1,0,0,0
14,42,0.7,0,32.4,13,7.9,66,5.9,1,71.60798550292239,0,1,0,0,0,1,0,0
31,35,11.6,1,36.0,4,9.7,76,7.0,8,68.33832724878123,1,0,0,1,0,0,0,0
